gene1,gene2,weight
AAAS,HSPA1A,0.4
AAAS,HSPA1B,0.4
AAAS,HSPA1L,0.4
AAAS,HSPA2,0.405
AAAS,HSPA4,0.416
AAAS,HSPA4L,0.405
AAAS,HSPA5,0.4
AAAS,HSPA6,0.413
AAAS,HSPA8,0.416
AAAS,HSPA9,0.413
AAAS,INCENP,0.451
AAAS,INTS9,0.451
AAAS,IPO8,0.436
AAAS,IQGAP1,0.407
AAAS,IQGAP3,0.405
AAAS,KPNB1,0.705
AAAS,LAS1L,0.456
AAAS,LIG1,0.451
AAAS,LUZP4,0.4
AAAS,MAGOH,0.767
AAAS,MAGOHB,0.762
AAAS,MC2R,0.651
AAAS,MCRS1,0.519
AAAS,MDM2,0.4
AAAS,MKS1,0.527
AAAS,NCBP1,0.513
AAAS,NCBP2,0.513
AAAS,NDC1,0.994
AAAS,NEK6,0.403
AAAS,NEK7,0.401
AAAS,NEK9,0.418
AAAS,NPM1,0.511
AAAS,NUP107,0.98
AAAS,NUP133,0.957
AAAS,NUP153,0.94
AAAS,NUP155,0.989
AAAS,NUP160,0.951
AAAS,NUP188,0.981
AAAS,NUP205,0.986
AAAS,NUP210,0.98
AAAS,NUP214,0.992
AAAS,NUP35,0.987
AAAS,NUP37,0.955
AAAS,NUP42,0.943
AAAS,NUP43,0.98
AAAS,NUP50,0.922
AAAS,NUP54,0.968
AAAS,NUP58,0.942
AAAS,NUP62,0.944
AAAS,NUP85,0.985
AAAS,NUP88,0.994
AAAS,NUP93,0.983
AAAS,NUP98,0.96
AAAS,NXF1,0.548
AAAS,NXF2B,0.502
AAAS,NXT1,0.563
AAAS,PGRMC2,0.754
AAAS,PHAX,0.415
AAAS,PML,0.4
AAAS,POLDIP3,0.575
AAAS,POM121,0.635
AAAS,POM121C,0.602
AAAS,POMC,0.759
AAAS,PPIP5K1,0.503
AAAS,RAE1,0.924
AAAS,RAN,0.512
AAAS,RANBP2,0.995
AAAS,RANGAP1,0.597
AAAS,RBM8A,0.516
AAAS,RGPD2,0.837
AAAS,RHOA,0.566
AAAS,RNPS1,0.521
AAAS,SARNP,0.442
AAAS,SEC13,0.952
AAAS,SEH1L,0.994
AAAS,SLBP,0.405
AAAS,SLU7,0.4
AAAS,SMN1,0.401
AAAS,SNRPB,0.426
AAAS,SNRPD1,0.46
AAAS,SNRPD2,0.485
AAAS,SNRPD3,0.453
AAAS,SNRPE,0.476
AAAS,SNRPF,0.461
AAAS,SNRPG,0.476
AAAS,SNUPN,0.42
AAAS,SP100,0.403
AAAS,SRRM1,0.516
AAAS,SRSF1,0.476
AAAS,SRSF11,0.426
AAAS,SRSF2,0.421
AAAS,SRSF3,0.458
AAAS,SRSF4,0.405
AAAS,SRSF5,0.414
AAAS,SRSF6,0.435
AAAS,SRSF7,0.453
AAAS,SRSF9,0.421
AAAS,SST,0.416
AAAS,SUMO1,0.449
AAAS,SUMO2,0.408
AAAS,SUMO3,0.405
AAAS,SYMPK,0.426
AAAS,TARBP2,0.422
AAAS,THOC1,0.421
AAAS,THOC2,0.441
AAAS,THOC3,0.488
AAAS,THOC5,0.466
AAAS,THOC6,0.486
AAAS,THOC7,0.409
AAAS,TOP2A,0.44
AAAS,TPR,0.937
AAAS,U2AF1,0.453
AAAS,U2AF1L4,0.4
AAAS,U2AF2,0.453
AAAS,UBE2I,0.715
AAAS,UPF3B,0.507
AAAS,VIP,0.497
AAAS,WDR33,0.415
AAAS,XPOT,0.417
AAAS,ZC3H11A,0.416
AACS,AASDH,0.477
AACS,ACAA1,0.564
AACS,ACAA2,0.561
AACS,ACACA,0.598
AACS,ACACB,0.411
AACS,ACAD9,0.424
AACS,ACADL,0.432
AACS,ACADM,0.405
AACS,ACADSB,0.444
AACS,ACADVL,0.425
AACS,ACAT1,0.962
AACS,ACAT2,0.958
AACS,ACLY,0.595
AACS,ACO2,0.413
AACS,ACOX1,0.49
AACS,ACOX2,0.424
AACS,ACOX3,0.413
AACS,ACSF2,0.556
AACS,ACSF3,0.687
AACS,ADHFE1,0.447
AACS,AJM1,0.491
AACS,ALDH2,0.463
AACS,ALDH3A2,0.425
AACS,ALDH3B1,0.547
AACS,ALDH3B2,0.402
AACS,ALDH5A1,0.507
AACS,AUH,0.516
AACS,BDH1,0.936
AACS,BDH2,0.939
AACS,CARTPT,0.45
AACS,CDK11A,0.41
AACS,CKAP5,0.401
AACS,COASY,0.405
AACS,CRYL1,0.459
AACS,CS,0.735
AACS,CYP4V2,0.585
AACS,CYP51A1,0.495
AACS,DHCR7,0.482
AACS,DIP2A,0.485
AACS,DIP2B,0.448
AACS,DIP2C,0.444
AACS,ECHDC1,0.463
AACS,ECHS1,0.532
AACS,ECI1,0.44
AACS,EEF1E1,0.411
AACS,EHHADH,0.945
AACS,ELOVL6,0.597
AACS,ENSP00000428055,0.4
AACS,ERI1,0.461
AACS,FASN,0.655
AACS,FDFT1,0.449
AACS,FDPS,0.588
AACS,GAR1,0.735
AACS,GCDH,0.41
AACS,GFOD2,0.492
AACS,HADH,0.503
AACS,HADHA,0.426
AACS,HADHB,0.519
AACS,HIBCH,0.42
AACS,HMGCL,0.962
AACS,HMGCLL1,0.943
AACS,HMGCR,0.606
AACS,HMGCS1,0.959
AACS,HMGCS2,0.944
AACS,HSD17B4,0.436
AACS,HSDL2,0.721
AACS,IDI1,0.451
AACS,IGDCC3,0.474
AACS,IVD,0.415
AACS,L1TD1,0.443
AACS,LSS,0.525
AACS,ME1,0.493
AACS,ME2,0.406
AACS,ME3,0.41
AACS,MED24,0.458
AACS,METAP1D,0.455
AACS,MRTFA,0.477
AACS,MVD,0.429
AACS,MVK,0.532
AACS,NSDHL,0.467
AACS,OLAH,0.443
AACS,OXCT1,0.958
AACS,OXCT2,0.942
AACS,PCCB,0.418
AACS,PEX26,0.532
AACS,PEX5,0.416
AACS,PHGDH,0.433
AACS,PMPCA,0.567
AACS,SBSPON,0.443
AACS,SC5D,0.407
AACS,SDHA,0.431
AACS,SDHC,0.433
AACS,SIDT1,0.41
AACS,SLC27A1,0.537
AACS,SORD,0.501
AACS,SQLE,0.612
AACS,STOML1,0.631
AACS,SULT1B1,0.409
AACS,THRSP,0.472
AACS,TM7SF2,0.457
AACS,TMEM120B,0.772
AACS,UNC119,0.683
AADAC,ABHD10,0.446
AADAC,ABHD5,0.605
AADAC,AGPAT3,0.408
AADAC,CES1,0.693
AADAC,CES2,0.616
AADAC,CES3,0.443
AADAC,CES4A,0.441
AADAC,CES5A,0.477
AADAC,CYC1,0.533
AADAC,CYP2C18,0.462
AADAC,CYP3A4,0.427
AADAC,ENSP00000497305,0.465
AADAC,FABP2,0.454
AADAC,FMO1,0.406
AADAC,FSCB,0.468
AADAC,GPAT4,0.418
AADAC,HRG,0.531
AADAC,KMO,0.449
AADAC,KYNU,0.61
AADAC,LIPA,0.408
AADAC,MGLL,0.452
AADAC,MOGAT2,0.507
AADAC,NAT1,0.832
AADAC,NAT2,0.875
AADAC,NDUFA12,0.503
AADAC,NDUFA2,0.501
AADAC,NDUFA5,0.502
AADAC,NDUFA6,0.503
AADAC,NDUFA9,0.465
AADAC,NDUFAB1,0.487
AADAC,NDUFS1,0.572
AADAC,NDUFS4,0.503
AADAC,NDUFS6,0.512
AADAC,NDUFS8,0.526
AADAC,NDUFV1,0.516
AADAC,NDUFV2,0.502
AADAC,PALB2,0.487
